#Source,TTI (s) tot,ID1,CL1,ID2,CL2,bolus,correct1,correct2
Ba133 I125,62,Ba133,88,I123,47,0,1,0
Ba133 I125,61,Ba133,86,Eu152,42,0,1,0
Ba133 I125,62,Ba133,84,Pb214,40,0,1,0
Ba133 I125,62,Ba133,84,Pb214,42,0,1,0
Co60 Cs137,112,Cs137,85,,,0,1,1
Co60 Cs137,115,Cs137,83,Eu152,41,0,1,0
Co60 Cs137,122,Cs137,81,Co60,60,0,1,1
Co60 Cs137,119,Cs137,79,Co60,53,0,1,1
Co60 Cs137,110,Cs137,83,Te132,46,0,1,0
Co60 Cs137,110,Cs137,67,Co60,54,3,1,1
Co60 Cs137,113,Cs137,55,I123,42,3,1,0
Co60 Cs137,116,Cs137,70,Sb125,63,3,1,0
Co60 Cs137,114,Cs137,75,Co60,54,3,1,1
Co60 Cs137,115,Cs137,46,Co60,40,3,1,1
